sofifa_id,short_name,overall,age,nationality,club,player_positions
178211,R. Zwinkels,65,31,Netherlands,ADO Den Haag,GK
212269,R. Bazoer,64,17,Netherlands,Ajax,CDM
221269,J. Riedewald,64,17,Netherlands,Ajax,LB
222558,R. Karsdorp,64,19,Netherlands,Feyenoord,CAM
204816,M. Koch,64,19,Netherlands,PSV,CB
209267,J. Lumu,64,19,Netherlands,SC Heerenveen,RW
211174,F. Sporkslede,64,20,Netherlands,Willem II,CM, CDM, RB
221521,R. Dekker,64,19,Netherlands,PEC Zwolle,CM
204098,A. Achahbar,64,20,Netherlands,Feyenoord,ST, RW
209316,T. Haye,64,19,Netherlands,AZ Alkmaar,CAM, CM
210010,J. van Overeem,64,19,Netherlands,FC Dordrecht,CAM
211195,L. Woudenberg,64,20,Netherlands,Feyenoord,LB
223737,P. Leeuwenburgh,64,20,Netherlands,Ajax,GK
212485,D. Bakker,64,19,Netherlands,ADO Den Haag,CDM, CB
203447,A. Schalk,64,21,Netherlands,Go Ahead Eagles,ST, LW
207724,M. Steenvoorden,64,21,Netherlands,Feyenoord,CB, CDM
193095,R. ten Voorde,64,23,Netherlands,FC Dordrecht,ST, LW
183479,K. van Diermen,64,24,Netherlands,Excelsior,CB
204184,D. Schmidt,64,22,Netherlands,SC Heerenveen,RB, CB
193157,J. van der Linden,64,23,Netherlands,Go Ahead Eagles,CB
193263,C. Vicento,64,23,Netherlands,Willem II,LW, RW
202338,E. Cummins,64,25,Netherlands,Go Ahead Eagles,GK
216193,B. Vriends,64,23,Netherlands,Go Ahead Eagles,CB
223730,T. van Weert,64,24,Netherlands,Excelsior,ST
204684,M. Seuntjens,64,22,Netherlands,NAC Breda,CM, CAM
184075,I. Haddad,64,25,Netherlands,FC Dordrecht,CB
209378,B. van Hintum,64,27,Netherlands,PEC Zwolle,LB
156653,R. Kruys,64,28,Netherlands,Excelsior,CDM, CM
164579,R. Braber,64,31,Netherlands,Willem II,CAM, CM
209318,B. de Jong,63,20,Netherlands,PEC Zwolle,GK
216266,K. Tete,63,18,Netherlands,Ajax,RB
